Replicate,Well,Control,MCI,MCI_Donepezil_10uM,MCI_BXP101_0.3ugml,MCI_BXP101_0.4ugml,MCI_BXP101_0.6ugml
1,1,63.93,40.00,67.02,87.54,80.00,56.39
1,2,76.39,58.36,68.21,50.49,27.87,79.34
1,3,70.82,77.70,79.67,25.57,68.52,66.56
1,4,88.20,46.56,73.53,18.69,46.56,69.18
1,Average,74.84,55.66,72.11,45.57,55.74,67.87
2,1,85.25,31.48,80.08,20.00,68.20,68.52
2,2,63.28,38.69,73.95,68.85,61.64,71.15
2,3,63.28,53.77,69.21,45.57,84.26,66.23
2,4,76.07,71.15,78.43,50.82,29.84,72.79
2,Average,71.97,48.77,75.42,46.31,60.99,69.67
3,1,51.48,54.43,63.64,76.56,64.59,54.43
3,2,40.98,76.39,53.67,42.30,47.87,94.75
3,3,75.41,62.95,74.18,63.61,57.38,68.85
3,4,90.82,42.62,66.70,76.39,63.61,43.28
3,Average,64.67,59.10,64.55,64.72,58.36,65.33
Grand_Mean,NA,70.49,54.51,70.69,52.20,58.36,67.62
Grand_SD,NA,4.28,4.29,4.55,5.12,3.89,1.78
